,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
90,cocobeach,20,GA,1574010108,79,1.01,9.58,84.2,6.93
91,clyde river,90,CA,1574009806,85,70.47,-68.59,10.4,16.11
92,pergamino,100,AR,1574010109,31,-33.9,-60.57,90.0,4.0
93,rincon,40,PA,1574010111,74,8.46,-82.28,84.2,4.7
94,mar del plata,0,AR,1574009798,17,-46.43,-67.52,68.86,33.13
95,quatre cocos,40,MU,1574010111,83,-20.21,57.76,77.0,12.75
96,namibe,51,AO,1574009978,78,-15.19,12.15,71.29,12.91
97,yumen,0,CN,1574010112,27,40.29,97.04,20.93,12.91
98,ambulu,45,ID,1574010114,80,-8.35,113.61,79.95,6.93
99,venice,90,US,1574010114,77,27.1,-82.45,60.01,10.29
100,silifke,0,TR,1574010114,61,36.38,33.93,54.99,4.59
101,eyl,87,SO,1574010115,80,7.98,49.82,80.78,24.11
102,puri,13,ID,1574010115,76,-7.54,112.45,76.15,3.29
103,barrow,77,AR,1574009784,23,-38.31,-60.23,81.63,16.51
104,tromso,75,NO,1574010070,64,69.65,18.96,33.8,9.17
105,sioux lookout,90,CA,1574009738,89,50.1,-91.92,33.8,5.82
106,beloha,22,MG,1574009827,74,-25.17,45.06,74.35,10.51
107,kodiak,90,US,1574009782,75,39.95,-94.76,50.0,14.99
108,san luis,26,AR,1574010118,20,-33.3,-66.34,98.26,16.42
109,hithadhoo,19,MV,1574009499,78,-0.6,73.08,82.44,17.83
110,mildura,29,AU,1574010119,46,-34.18,142.16,53.6,3.36
111,adrar,0,DZ,1574010120,24,27.87,-0.29,66.2,17.22
112,altay,31,CN,1574010120,58,47.83,88.13,-0.11,3.89
113,ugleuralskiy,100,RU,1574010120,92,58.95,57.58,23.0,7.25
114,upernavik,0,GL,1574009900,58,72.79,-56.15,5.95,4.72
115,butaritari,99,KI,1574009882,78,3.07,172.79,82.44,15.39
116,victoria,75,BN,1574009591,88,5.28,115.24,78.8,2.24
117,preobrazheniye,100,RU,1574010122,68,42.9,133.91,31.3,5.55
118,provideniya,89,RU,1574009774,85,64.42,-173.23,14.54,7.54
119,kahului,40,US,1574010123,83,20.89,-156.47,77.0,17.22
120,agirish,100,RU,1574009820,89,61.92,63.02,4.57,10.49
121,cosmopolis,90,US,1574010124,93,46.96,-123.77,54.0,6.93
122,chabahar,99,IR,1574010124,39,25.29,60.65,70.54,4.27
123,alofi,92,NU,1574009920,93,-19.06,-169.92,62.6,3.8
124,dikson,28,RU,1574009801,86,73.51,80.55,-7.74,5.53
125,castro,75,CL,1574009942,66,-42.48,-73.76,55.4,13.87
126,cabedelo,75,BR,1574010126,58,-6.97,-34.84,86.0,12.75
127,tuktoyaktuk,40,CA,1574009815,76,69.44,-133.03,-5.8,5.82
128,pisco,90,PE,1574009948,30,-13.71,-76.2,71.6,9.17
129,lethem,80,GY,1574010127,53,3.38,-59.8,89.19,4.45
130,neryungri,100,RU,1574010127,98,56.66,124.71,-19.77,5.75
131,qaanaaq,9,GL,1574009885,56,77.48,-69.36,2.95,9.13
132,gisborne,100,NZ,1574010129,74,-38.66,178.02,64.99,1.01
133,goundam,0,ML,1574010129,17,16.42,-3.66,84.4,9.4
134,birjand,30,IR,1574010130,19,32.86,59.22,46.4,4.7
135,bom jesus da lapa,98,BR,1574010130,46,-13.25,-43.41,91.4,5.82
136,dalby,90,AU,1574010131,63,-27.18,151.26,66.2,19.46
137,kalmunai,0,LK,1574010073,76,7.42,81.82,83.12,9.33
138,odienne,93,CI,1574010132,48,9.51,-7.57,81.03,1.79
139,cradock,20,ZA,1574010132,69,-32.16,25.62,53.28,18.79
140,okmulgee,1,US,1574010017,40,35.62,-95.96,57.2,9.17
141,zhigansk,100,RU,1574010133,97,66.77,123.37,-10.95,5.28
142,palauig,100,PH,1574010133,88,15.44,119.9,74.25,2.53
143,saint-augustin,75,CA,1574009957,57,45.63,-73.98,27.0,6.93
144,mehamn,56,NO,1574010134,85,71.03,27.85,26.6,10.29
145,kuryk,0,KZ,1574010135,51,43.18,51.68,48.43,13.11
146,sur,0,OM,1574010135,63,22.57,59.53,74.28,9.53
147,malatya,0,TR,1574010136,39,38.35,38.32,39.2,4.7
148,batangafo,15,CF,1574010136,33,7.3,18.29,80.71,2.28
149,chapais,90,CA,1574010137,52,49.78,-74.86,19.4,17.22
150,geraldton,90,CA,1574009930,96,49.72,-86.95,33.8,10.29
151,parauna,51,ID,1574010138,94,-3.82,122.09,72.82,1.66
152,hirara,74,JP,1574009824,87,24.8,125.28,78.15,15.73
153,cockburn town,40,TC,1574010138,70,21.46,-71.14,81.19,5.79
154,brookings,90,US,1574010139,80,44.31,-96.8,37.0,16.11
155,lebu,88,ET,1574009826,77,8.96,38.73,54.54,6.51
156,airai,66,TL,1574009907,51,-8.93,125.41,67.19,3.94
157,khatanga,100,RU,1574009846,91,71.98,102.47,-12.95,7.18
158,ternate,90,PH,1574010140,83,14.29,120.72,82.4,4.7
159,pierre,1,US,1574010141,61,44.37,-100.35,41.0,5.82
160,newberry,90,US,1574010141,93,46.35,-85.51,37.4,10.29
161,bandarbeyla,97,SO,1574009894,81,9.49,50.81,80.69,23.73
162,caravelas,100,BR,1574010142,74,-17.73,-39.27,79.12,8.21
163,poum,75,MK,1574010143,62,41.28,20.71,53.6,2.24
164,beringovskiy,100,RU,1574009854,77,63.05,179.32,29.14,17.43
165,avera,90,US,1574009871,58,33.19,-82.53,55.99,8.05
166,longyearbyen,40,NO,1574009936,63,78.22,15.63,28.4,13.87
167,dunedin,100,NZ,1574009855,89,-45.87,170.5,46.0,17.0
168,vila franca do campo,20,PT,1574009874,72,37.72,-25.43,66.2,12.75
169,port elizabeth,90,US,1574009940,65,39.31,-74.98,44.01,17.22
170,hermiston,90,US,1574009976,100,45.84,-119.29,57.99,9.64
171,kjopsvik,75,NO,1574010146,64,68.1,16.37,33.8,13.87
172,cherskiy,94,RU,1574009822,98,68.75,161.3,-9.72,3.76
173,saint-joseph,0,FR,1574010147,61,43.56,6.97,53.01,6.93
174,wum,0,CM,1574010147,76,6.39,10.08,69.69,2.26
175,mahebourg,40,MU,1574009858,83,-20.41,57.7,77.0,12.75
176,zhuhai,0,CN,1574010148,30,40.71,112.04,12.2,11.18
177,iralaya,40,HN,1574010149,74,15.0,-83.23,84.2,13.87
178,dingle,96,PH,1574009877,88,11.0,122.67,73.36,2.26
179,dukat,98,AL,1574009967,67,40.25,19.57,64.99,7.0
180,fortuna,90,US,1574009813,93,40.6,-124.16,48.2,5.03
181,portland,40,US,1574009621,54,43.66,-70.25,34.0,5.82
182,kudahuvadhoo,4,MV,1574010152,81,2.67,72.89,82.74,17.05
183,grigiskes,90,LT,1574010153,87,54.68,25.08,48.2,9.17
184,starokozache,90,UA,1574010153,93,46.34,29.99,48.2,11.18
185,ponta delgada,20,PT,1574010007,72,37.73,-25.67,66.2,12.75
186,barkly west,0,ZA,1574010155,15,-28.54,24.52,87.8,10.29
187,east london,45,ZA,1574009878,59,-33.02,27.91,64.4,24.16
188,kolpashevo,100,RU,1574010156,96,58.31,82.9,15.1,3.58
189,evinayong,57,GQ,1574010156,96,1.44,10.55,70.52,1.86
190,pevek,100,RU,1574009898,96,69.7,170.27,2.68,7.2
191,la plata,33,AR,1574009893,73,-34.92,-57.95,91.0,3.36
192,gananoque,20,CA,1574010158,54,44.33,-76.16,36.0,6.93
193,ilulissat,40,GL,1574009981,48,69.22,-51.1,17.6,4.7
194,port hawkesbury,75,CA,1574010158,59,45.62,-61.36,39.0,10.29
195,panormos,100,GR,1574010159,78,38.37,22.25,62.01,0.25
196,mananjary,100,MG,1574009911,84,-19.16,46.8,66.79,4.68
197,marzuq,0,YE,1574009974,69,14.4,46.47,67.77,6.71
198,ronne,79,FR,1574010160,87,48.45,0.83,43.0,4.7
199,saint george,75,GR,1574009945,87,39.45,22.34,59.0,3.56
200,el rosario,90,MX,1574010161,73,22.99,-105.86,79.0,3.36
201,cutervo,0,PE,1574010162,35,-6.38,-78.82,72.75,10.45
202,eureka,90,US,1574009943,100,40.8,-124.16,48.2,4.7
203,moletai,90,LT,1574010163,87,55.23,25.42,48.2,9.17
204,caala,98,AO,1574010163,92,-12.85,15.56,63.43,5.23
205,port-gentil,20,GA,1574009916,83,-0.72,8.78,82.4,6.93
206,strezhevoy,100,RU,1574010164,76,60.73,77.6,-7.6,13.42
207,tabou,100,CI,1574009909,81,4.42,-7.36,79.99,3.33
208,ulladulla,90,AU,1574010164,82,-35.36,150.48,57.2,5.82
209,gornopravdinsk,98,RU,1574010165,96,60.06,69.92,18.37,5.23
210,souillac,90,FR,1574009939,93,45.6,-0.6,43.0,3.36
211,la ronge,90,CA,1574009873,92,55.1,-105.3,28.4,9.17
212,yarmouth,75,CA,1574010167,55,43.84,-66.12,37.99,8.05
213,angleton,1,US,1574010167,52,29.17,-95.43,66.2,1.32
214,foz,73,ES,1574010168,1,43.57,-7.26,52.0,3.24
215,olinda,100,AU,1574009935,75,-37.84,145.39,50.0,8.05
216,vallentuna,75,SE,1574010081,87,59.53,18.08,46.99,9.17
217,hay river,90,CA,1574010169,92,60.82,-115.79,8.6,10.29
218,kibala,20,TD,1574010170,41,9.11,18.35,93.2,4.7
219,mirnyy,88,RU,1574010171,94,56.57,36.46,40.46,5.23
220,smithers,40,CA,1574009986,93,54.78,-127.17,44.6,11.41
221,coquimbo,0,CL,1574010171,68,-29.95,-71.34,84.99,12.75
222,tual,91,ID,1574010172,79,-5.67,132.75,80.26,6.49
223,nemuro,39,JP,1574010136,69,43.32,145.57,39.34,20.49
224,palmer,34,AU,1574009841,76,-34.85,139.16,55.0,4.7
225,vao,78,EE,1574010173,96,59.1,26.19,39.29,5.44
226,jardim,10,BR,1574010174,18,-21.48,-56.15,98.28,6.64
227,thompson,90,CA,1574009781,92,55.74,-97.86,17.6,10.29
228,hovd,75,NO,1574009873,74,63.83,10.7,43.0,6.93
229,oussouye,99,SN,1574009887,38,12.49,-16.54,88.09,7.67
230,saskylakh,92,RU,1574009775,96,71.97,114.09,-7.1,9.37
231,talnakh,50,RU,1574009863,75,69.49,88.39,-14.8,11.18
232,villa carlos paz,20,AR,1574010176,31,-31.42,-64.5,95.0,21.92
233,chuy,0,UY,1574009813,50,-33.69,-53.46,82.26,2.48
234,meulaboh,29,ID,1574009915,79,4.14,96.13,80.47,7.47
235,nambucca heads,45,AU,1574010177,87,-30.64,152.99,61.0,5.82
236,padang,100,ID,1574009925,95,-0.92,100.36,67.08,2.48
237,coracora,11,PE,1574010178,40,-15.02,-73.78,60.12,15.37
238,aksu,100,KZ,1574009927,68,52.04,76.93,30.2,15.66
239,moose factory,90,CA,1574009988,77,51.26,-80.61,32.0,18.34
240,pochutla,40,MX,1574009884,66,15.74,-96.47,86.0,7.63
241,rjukan,75,NO,1574010180,83,59.88,8.59,32.0,2.91
242,kitoy,40,RU,1574010180,69,52.6,103.9,-13.0,8.95
243,avarua,3,CK,1574009812,94,-21.21,-159.78,69.8,3.36
244,port lincoln,44,AU,1574009874,84,-34.72,135.86,55.26,11.83
245,zanjan,54,IR,1574010182,83,36.67,48.48,26.67,5.26
246,taltal,0,CL,1574010182,64,-25.41,-70.49,65.23,7.25
247,innisfail,57,AU,1574010183,88,-17.52,146.03,67.08,3.51
248,evensk,50,RU,1574010184,74,61.92,159.24,2.48,16.31
249,pacific grove,1,US,1574009948,44,36.62,-121.92,71.01,4.7
250,rochester,90,US,1574010184,100,44.02,-92.46,39.2,5.82
251,mangrol,18,IN,1574009982,49,25.33,76.51,70.2,1.63
252,okahandja,66,NA,1574010185,14,-21.98,16.91,87.8,9.17
253,plainfield,90,US,1574010186,56,40.63,-74.41,45.0,11.41
254,salym,100,RU,1574010186,95,60.06,71.48,17.62,5.97
255,orumiyeh,0,IR,1574010187,54,37.55,45.08,30.2,4.7
256,luderitz,1,NA,1574009775,40,-26.65,15.16,73.4,28.86
257,omboue,100,GA,1574010188,89,-1.57,9.26,76.41,3.38
258,kargasok,99,RU,1574010188,95,59.06,80.87,8.55,7.09
259,cap malheureux,40,MU,1574010189,83,-19.98,57.61,77.0,12.75
260,sibolga,100,ID,1574009790,98,1.74,98.78,71.49,1.66
261,hasaki,75,JP,1574009926,71,35.73,140.83,53.6,6.93
262,xuddur,0,SO,1574010190,50,4.12,43.89,78.55,8.72
263,labuhan,100,ID,1574009958,87,-2.54,115.51,74.08,2.06
264,bilibino,73,RU,1574010191,99,68.06,166.44,-7.44,0.94
265,kloulklubed,90,PW,1574009923,88,7.04,134.26,77.0,3.36
266,xam nua,0,LA,1574010191,96,20.42,104.04,60.12,2.86
267,wajima,84,JP,1574010192,67,37.4,136.9,56.57,14.7
268,karratha,0,AU,1574010041,59,-20.74,116.85,81.0,9.6
269,amparafaravola,91,MG,1574009946,80,-17.68,48.22,72.72,5.23
270,ranfurly,89,CA,1574010193,94,53.41,-111.68,36.05,9.37
271,san ignacio,6,PE,1574009973,32,-5.15,-79.0,84.92,3.09
272,mwinilunga,100,ZM,1574010194,93,-11.73,24.43,65.35,1.74
273,brandon,90,US,1574010194,70,43.59,-96.57,39.99,10.29
274,lakselv,100,NO,1574010195,85,70.05,24.96,21.99,11.41
275,ponta do sol,40,BR,1574009780,59,-20.63,-46.0,81.23,3.29
276,kailua,40,US,1574009850,88,21.39,-157.74,75.99,11.86
277,narsaq,100,GL,1574009829,51,60.91,-46.05,37.4,28.86
278,athabasca,88,CA,1574009990,93,54.72,-113.29,36.46,11.9
279,aligudarz,100,IR,1574010199,86,33.4,49.69,30.43,2.21
280,ahipara,53,NZ,1574009895,100,-35.17,173.16,64.0,22.5
281,beisfjord,85,NO,1574010200,64,68.38,17.6,33.8,13.87
282,terrell,1,US,1574010201,51,32.74,-96.28,63.0,11.41
283,ferkessedougou,99,CI,1574010201,36,9.6,-5.2,84.61,3.67
284,mount gambier,95,AU,1574009829,100,-37.83,140.78,42.8,1.12
285,challapata,30,BO,1574010202,38,-18.9,-66.78,51.31,8.81
286,pangnirtung,33,CA,1574009943,68,66.15,-65.72,6.19,3.33
287,matagami,0,NG,1574010203,42,9.67,8.4,75.25,3.27
288,pirovskoye,100,RU,1574010204,93,57.63,92.27,11.5,7.74
289,bruggen,90,AT,1574010205,93,46.74,13.19,54.0,1.12
290,kodinsk,100,RU,1574010205,84,58.6,99.18,0.93,9.51
291,vestmannaeyjar,20,IS,1574010206,71,63.44,-20.27,35.6,8.05
292,novikovo,45,RU,1574010206,90,51.15,37.89,34.29,4.65
293,cidreira,0,BR,1574009791,65,-30.17,-50.22,69.53,9.17
294,bilma,26,NE,1574010207,20,18.69,12.92,78.39,3.24
295,moanda,94,CD,1574010208,85,-5.93,12.38,78.94,5.26
296,pangai,74,TO,1574009790,70,-19.8,-174.35,75.56,4.52
297,port blair,2,IN,1574009955,69,11.67,92.75,82.33,5.99
298,barra do garcas,75,BR,1574009909,62,-15.89,-52.26,84.2,9.17
299,mangan,63,IN,1574010210,80,27.5,88.54,49.32,1.59
300,walvis bay,37,NA,1574010211,72,-22.95,14.51,64.4,6.93
301,vardo,90,US,1574010211,55,39.62,-77.74,42.01,3.36
302,arkhara,100,RU,1574010212,87,49.42,130.09,12.09,6.64
303,erenhot,0,CN,1574010213,35,43.65,111.97,7.88,23.78
304,porto tolle,40,IT,1574010213,87,44.95,12.32,57.2,1.12
305,yakima,75,US,1574009970,100,46.6,-120.51,41.0,1.9
306,chapadinha,67,BR,1574010214,42,-3.74,-43.35,93.61,5.84
307,pelham,90,US,1574010214,59,42.73,-71.32,37.0,5.82
308,vestmanna,99,FO,1574009846,72,62.16,-7.17,33.8,17.22
309,beberibe,40,BR,1574009976,58,-4.18,-38.13,87.8,14.99
310,atambua,55,ID,1574010216,80,-9.11,124.89,74.26,2.21
311,tomatlan,100,MX,1574010216,66,19.93,-105.25,77.4,0.6
312,nome,1,US,1574009868,47,30.04,-94.42,61.0,3.36
313,yar-sale,100,RU,1574010217,100,66.83,70.83,-17.16,10.76
314,gobabis,79,NA,1574010217,16,-22.45,18.97,91.4,3.36
315,lagoa,20,PT,1574009779,82,37.14,-8.45,64.99,16.11
316,dubuque,40,US,1574010218,100,42.5,-90.66,37.0,3.36
317,bollnas,89,SE,1574010219,96,61.35,16.39,32.59,2.39
318,srednekolymsk,99,RU,1574009804,97,67.46,153.71,-1.88,5.03
319,los llanos de aridane,75,ES,1574009906,64,28.66,-17.92,68.0,10.29
320,brae,84,GB,1574010220,80,60.4,-1.35,41.0,4.7
321,santa,100,PH,1574010220,87,17.49,120.43,72.75,3.24
322,komsomolskiy,4,RU,1574010221,87,67.55,63.78,-9.76,7.83
323,impfondo,95,CD,1574010221,94,1.62,18.06,73.83,0.89
324,pekan,20,MY,1574010222,94,3.49,103.39,75.2,2.24
325,taoudenni,63,ML,1574010222,19,22.68,-3.98,68.25,13.31
326,abha,40,SA,1574009796,67,18.22,42.5,62.6,1.28
327,guaruja,40,BR,1574010223,60,-23.99,-46.26,75.0,16.11
328,inta,91,RU,1574010223,91,66.04,60.13,10.63,10.47
329,silver city,75,US,1574010223,24,32.77,-108.28,62.01,4.7
330,awbari,0,LY,1574010224,24,26.59,12.77,65.43,12.41
331,nanakuli,1,US,1574010225,94,21.39,-158.15,75.99,4.7
332,berlevag,75,NO,1574010225,92,70.86,29.09,17.6,13.87
333,lompoc,1,US,1574009836,47,34.64,-120.46,62.6,2.62
334,mareeba,62,AU,1574009984,88,-16.99,145.42,73.0,1.54
335,fort saint james,12,CA,1574010226,96,54.43,-124.25,39.4,5.86
336,inhambane,1,MZ,1574010227,80,-23.87,35.38,76.24,10.85
337,alcantara,100,PH,1574010227,89,9.97,123.41,75.22,5.39
338,chatham,1,CA,1574010015,55,42.41,-82.19,39.0,8.05
339,mehriz,75,IR,1574010228,52,31.58,54.44,46.4,4.7
340,minab,0,IR,1574010228,60,27.15,57.07,68.0,4.7
341,cuiluan,100,CN,1574010229,91,47.72,128.65,14.11,4.61
342,tabuk,100,PH,1574010229,86,17.41,121.44,73.96,9.78
343,qaqortoq,100,GL,1574009829,51,60.72,-46.03,37.4,28.86
344,alice springs,0,AU,1574010041,19,-23.7,133.88,66.2,2.24
345,kongwa,86,TZ,1574010231,66,-6.19,36.41,75.9,10.56
346,isla vista,1,US,1574010039,47,34.41,-119.86,75.99,3.62
347,outram,75,MY,1574010232,83,1.28,103.84,82.4,2.24
348,cullinan,24,ZA,1574010233,26,-25.67,28.53,84.2,13.87
349,vanavara,0,RU,1574009890,94,60.35,102.28,-18.98,6.29
350,fairbanks,90,US,1574009702,91,64.84,-147.72,5.0,2.04
351,tshane,27,BW,1574010234,16,-24.02,21.87,85.42,11.18
352,college,90,US,1574010235,91,64.86,-147.8,5.0,1.95
353,cayenne,52,GF,1574009933,62,4.94,-52.33,89.6,12.75
354,deer lake,40,CA,1574010236,63,49.18,-57.43,28.4,12.75
355,ucluelet,75,CA,1574009969,93,48.94,-125.55,53.6,17.22
356,vuktyl,91,RU,1574010237,96,63.86,57.31,16.61,3.51
357,krasnoarmeyskoye,52,RU,1574010237,90,51.2,45.92,32.0,5.28
358,feni,0,BD,1574010169,88,23.02,91.41,67.73,2.55
359,astana,99,KZ,1574010238,63,51.13,71.43,28.4,17.9
360,deniliquin,90,AU,1574010239,63,-35.53,144.96,50.0,2.01
361,toledo,90,ES,1574010043,93,39.86,-4.02,46.4,18.34
362,ceres,15,BR,1574010018,51,-15.31,-49.6,86.59,6.11
363,bacolod,100,PH,1574010240,91,10.68,122.95,73.58,4.85
364,kununurra,22,AU,1574009819,52,-15.77,128.74,69.8,1.12
365,henties bay,6,NA,1574010241,84,-22.12,14.28,62.01,1.99
366,porterville,0,US,1574010241,76,36.07,-119.02,59.0,2.51
367,roebourne,0,AU,1574010241,39,-20.77,117.15,77.25,5.61
368,axim,72,GH,1574009982,81,4.87,-2.24,79.29,5.21
369,te anau,79,NZ,1574009785,81,-45.41,167.72,40.12,5.5
370,havre-saint-pierre,1,CA,1574009832,62,50.23,-63.6,23.0,13.87
371,troitskoye,100,RU,1574010243,90,52.98,84.68,20.61,11.21
372,garowe,56,SO,1574009852,57,8.41,48.48,80.26,17.58
373,ouesso,98,CG,1574010244,95,1.61,16.05,72.63,2.77
374,haines junction,100,CA,1574010244,98,60.75,-137.51,28.02,1.95
375,vila velha,40,BR,1574010245,58,-3.71,-38.6,87.8,14.99
376,iquique,31,CL,1574010245,56,-20.22,-70.14,71.6,16.11
377,guerrero negro,0,MX,1574009810,34,27.97,-114.04,80.91,7.83
378,atoyac,75,MX,1574010246,69,18.92,-96.78,77.0,4.85
379,los andes,34,CL,1574010247,26,-32.83,-70.6,84.0,10.29
380,grand gaube,40,MU,1574010247,83,-20.01,57.66,77.0,12.75
381,shipunovo,100,RU,1574010248,74,52.22,82.26,21.47,27.94
382,oranjestad,40,AW,1574010242,74,12.52,-70.03,84.2,10.29
383,tiksi,90,RU,1574009919,95,71.64,128.87,-1.05,5.23
384,ler,75,NO,1574010249,74,63.2,10.3,39.2,6.93
385,isangel,100,VU,1574009806,85,-19.55,169.27,73.74,13.65
386,minot,90,US,1574010057,86,48.23,-101.3,34.0,4.7
387,hellvik,2,NO,1574010250,93,59.92,5.78,39.2,4.7
